Country,Cases,Daily Cases,Case Inc,3-day Case Inc, 7-day Case inc,+/- Case %, Cases per 1k,Deaths,Daily Deaths,Death Inc,3-day Death Inc, 7-day Death inc,+/- Deaths %, Deaths per 1k,Mortality,Delayed Mortality,Population 2018
CIV,140,39,27.8571,19.4081,24.8035,-5.39544,0.00558454,	0,0,0,0,0,0,0,	0,0,	25069229
CMR,99,11,11.1111,9.76431,14.7573,-4.99296,0.00392604,	2,1,50,16.6667,21.4286,-4.7619,7.9314e-05,	9.09091,20,	25216237
COD,58,0,0,7.85441,16.6363,-8.78193,0.000689917,	6,2,33.3333,19.4444,34.5238,-15.0794,7.13707e-05,	0,200,	84068091
COG,19,15,78.9474,26.3158,14.8496,11.4662,0.00362294,	0,0,0,0,0,0,0,	0,0,	5244363
COL,608,69,11.3487,14.7018,17.3937,-2.69187,0.012246,	6,0,0,19.4444,34.5238,-15.0794,0.000120849,	0,9.23077,	49648685
CPV,6,1,16.6667,20.5556,13.5714,6.98413,0.0110341,	1,0,0,0,14.2857,-14.2857,0.00183902,	0,0,	543767
CRI,295,32,10.8475,15.9807,12.8531,3.12758,0.0590066,	2,0,0,0,0,0,0.000400045,	0,4,	4999441
CUB,119,39,32.7731,26.5793,21.9252,4.65417,0.0104956,	3,1,33.3333,27.7778,11.9048,15.873,0.000264594,	2.5641,42.8571,	11338138
CUW,8,0,0,8.92857,34.7789,-25.8503,0.0500472,	1,0,0,33.3333,14.2857,19.0476,0.0062559,	0,100,	159849
CYM,8,0,0,25,10.7143,14.2857,0.124661,	1,0,0,0,0,0,0.0155826,	0,0,	64174
CYP,179,17,9.49721,11.6745,13.0565,-1.38203,0.150513,	5,0,0,13.3333,20,-6.66667,0.00420428,	0,12.5,	1189265
CZE,2663,384,14.4198,19.8159,14.3235,5.49241,0.250619,	11,2,18.1818,33.8384,38.3117,-4.4733,0.00103523,	0.520833,2.53456,	10625695
DEU,52544,3965,7.54606,15.9141,14.1416,1.77247,0.63361,	389,64,16.4524,28.3643,26.7836,1.5807,0.00469082,	1.61412,5.43828,	82927922
DJI,15,2,13.3333,32.0085,23.2418,8.76679,0.0156426,	0,0,0,0,0,0,0,	0,0,	958920
DMA,11,0,0,35.9307,36.8275,-0.896722,0.153578,	0,0,0,0,0,0,0,	0,0,	71625
DNK,2201,155,7.04225,10.3894,7.73639,2.65301,0.37965,	65,13,20,21.3698,23.6731,-2.30334,0.0112118,	8.3871,6.34766,	5797446
DOM,719,138,19.1933,25.0935,32.6433,-7.54981,0.0676568,	28,8,28.5714,39.5238,28.8435,10.6803,0.00263476,	5.7971,254.545,	10627165
DZA,409,104,25.4279,17.1235,17.6325,-0.508958,0.00968542,	26,5,19.2308,12.7595,11.9109,0.848545,0.000615699,	4.80769,43.3333,	42228429
ECU,1835,208,11.3351,16.48,18.692,-2.21199,0.107408,	48,7,14.5833,17.753,22.6878,-4.93481,0.00280959,	3.36538,43.2432,	17084357
